Date,Narration,Withdrawal,Deposit,Balance
01/02/2026,NEFT/972FF5D2A/ACME TECHNOLOGIES SALARY,,"95,000.00","2,68,981.50"
03/02/2026,NEFT/55EC42E08/KUMAR REALTY RENT,"24,000.00",,"2,44,981.50"
05/02/2026,ACH-D/ACT FIBERNET,799.00,,"2,44,182.50"
05/02/2026,UPI/8EBA46463/D-MART/9876543210,"1,968.00",,"2,42,214.50"
05/02/2026,POS/BEBE0C8C1/SHELL FUEL,"2,215.00",,"2,39,999.50"
05/02/2026,AXIS CREDIT CARD BILL/BF8B03457,"34,257.00",,"2,05,742.50"
05/02/2026,SELF TRANSFER/F5938949E/ICICI,"2,000.00",,"2,03,742.50"
07/02/2026,POS/3389D2267/SHELL FUEL,"2,020.00",,"2,01,722.50"
07/02/2026,UPI/132D4D3A5/HOTEL KRISHNA BHOJ/9876543210,"2,084.00",,"1,99,638.50"
08/02/2026,UPI/431A580D7/PHARMEASY/9876543210,781.00,,"1,98,857.50"
09/02/2026,UPI/C04CAC3D1/LPG GAS CYLINDER/9876543210,880.00,,"1,97,977.50"
10/02/2026,NEFT/7AB4220A7/HDFC ERGO INSURANCE,"1,850.00",,"1,96,127.50"
10/02/2026,POS/03586AE6F/SHELL FUEL,"1,839.00",,"1,94,288.50"
11/02/2026,SELF TRANSFER/827DC3B65/ICICI,"8,678.00",,"1,85,610.50"
12/02/2026,SELF TRANSFER/3EDAFEA54/ICICI,"2,000.00",,"1,83,610.50"
15/02/2026,UPI/FE0F3EAB0/MSEDCL ELECTRICITY/9876543210,"1,182.00",,"1,82,428.50"
15/02/2026,UPI/13836613C/APOLLO PHARMACY/9876543210,561.00,,"1,81,867.50"
16/02/2026,UPI/D7FDBABC1/BARBEQUE NATION/9876543210,"2,354.00",,"1,79,513.50"
17/02/2026,UPI/18839C8E4/APOLLO PHARMACY/9876543210,589.00,,"1,78,924.50"
18/02/2026,SELF TRANSFER/629CD4D5C/ICICI,"2,000.00",,"1,76,924.50"
22/02/2026,POS/9EEFE02C3/HP PETROL PUMP,"1,292.50",,"1,75,632.00"
25/02/2026,UPI/7489AC27E/RELIANCE FRESH/9876543210,"1,436.00",,"1,74,196.00"
28/02/2026,POS/A40BF6F6B/SHELL FUEL,"2,555.00",,"1,71,641.00"
28/02/2026,UPI/B6B90A95B/BARBEQUE NATION/9876543210,"1,995.00",,"1,69,646.00"
28/02/2026,SELF TRANSFER/C379CC41A/ICICI,"2,000.00",,"1,67,646.00"
