Date,Narration,Withdrawal,Deposit,Balance
01/09/2025,NEFT/4BDD640FB/ACME TECHNOLOGIES SALARY,,"95,000.00","2,45,000.00"
03/09/2025,NEFT/8142C3FE8/KUMAR REALTY RENT,"24,000.00",,"2,21,000.00"
05/09/2025,ACH-D/ACT FIBERNET,799.00,,"2,20,201.00"
05/09/2025,UPI/04EDE79B6/D-MART/9876543210,"1,859.00",,"2,18,342.00"
05/09/2025,AXIS CREDIT CARD BILL/5BD32EBDA,"19,594.00",,"1,98,748.00"
09/09/2025,UPI/8955BC346/D-MART/9876543210,427.00,,"1,98,321.00"
10/09/2025,NEFT/33F76BE1D/HDFC ERGO INSURANCE,"1,850.00",,"1,96,471.00"
10/09/2025,SELF TRANSFER/C53BADC3E/ICICI,"2,000.00",,"1,94,471.00"
13/09/2025,UPI/AAD5406BC/RELIANCE FRESH/9876543210,"1,538.00",,"1,92,933.00"
15/09/2025,UPI/BF42D47CC/MSEDCL ELECTRICITY/9876543210,"1,411.00",,"1,91,522.00"
17/09/2025,UPI/35430C8C3/CITY CARE CLINIC/9876543210,"1,286.00",,"1,90,236.00"
18/09/2025,SELF TRANSFER/A5570CEFC/ICICI,"2,000.00",,"1,88,236.00"
19/09/2025,UPI/3072E35DD/CAFE COFFEE DAY/9876543210,"1,656.00",,"1,86,580.00"
20/09/2025,UPI/B25DFC8FA/RELIANCE FRESH/9876543210,"1,834.00",,"1,84,746.00"
20/09/2025,POS/44DA273ED/HP PETROL PUMP,"1,330.00",,"1,83,416.00"
22/09/2025,UPI/8300FFA68/CAFE COFFEE DAY/9876543210,"1,641.00",,"1,81,775.00"
25/09/2025,POS/D2EDE2487/INDIAN OIL,"2,441.00",,"1,79,334.00"
26/09/2025,SELF TRANSFER/F1796B7B1/ICICI,"2,000.00",,"1,77,334.00"
27/09/2025,POS/76AE63480/INDIAN OIL,"1,921.50",,"1,75,412.50"
27/09/2025,UPI/FF584BE73/MERCHANT,0.00,,"1,75,412.50"
28/09/2025,UPI/FBDD4C1F2/RELIANCE FRESH/9876543210,"1,974.00",,"1,73,438.50"
28/09/2025,UPI/00BB1B984/CAFE COFFEE DAY/9876543210,"2,568.00",,"1,70,870.50"
30/09/2025,SAVINGS INTEREST/C0BC6A71B,,"2,160.00","1,73,030.50"
