Date,Narration,Withdrawal,Deposit,Balance
01/05/2026,NEFT/CF50BEA63/ACME TECHNOLOGIES SALARY,,"95,000.00","2,56,080.50"
01/05/2026,SELF TRANSFER/FBFEB32A4/ICICI,"2,000.00",,"2,54,080.50"
03/05/2026,NEFT/67656AF72/KUMAR REALTY RENT,"24,000.00",,"2,30,080.50"
03/05/2026,POS/AF5B19BE4/SHELL FUEL,"1,292.00",,"2,28,788.50"
04/05/2026,UPI/003F9C74D/BARBEQUE NATION/9876543210,"2,384.00",,"2,26,404.50"
05/05/2026,ACH-D/ACT FIBERNET,799.00,,"2,25,605.50"
05/05/2026,AXIS CREDIT CARD BILL/66D658F44,"44,478.00",,"1,81,127.50"
08/05/2026,UPI/138973D15/LPG GAS CYLINDER/9876543210,896.00,,"1,80,231.50"
09/05/2026,SELF TRANSFER/1FC32EDB4/ICICI,"2,000.00",,"1,78,231.50"
10/05/2026,NEFT/11825BC54/HDFC ERGO INSURANCE,"1,850.00",,"1,76,381.50"
11/05/2026,UPI/A9DEFC23F/RELIANCE FRESH/9876543210,906.00,,"1,75,475.50"
11/05/2026,UPI/9D58C449E/PHARMEASY/9876543210,"1,008.00",,"1,74,467.50"
12/05/2026,POS/83CC56AF3/INDIAN OIL,"1,980.00",,"1,72,487.50"
15/05/2026,UPI/C594FFD27/RELIANCE FRESH/9876543210,404.00,,"1,72,083.50"
15/05/2026,POS/3E893786D/SHELL FUEL,"1,616.00",,"1,70,467.50"
16/05/2026,UPI/7A8E56E0C/MSEDCL ELECTRICITY/9876543210,"2,414.00",,"1,68,053.50"
17/05/2026,UPI/1616D41C8/RELIANCE FRESH/9876543210,"2,350.00",,"1,65,703.50"
18/05/2026,UPI/A776094F6/APOLLO PHARMACY/9876543210,"1,680.00",,"1,64,023.50"
20/05/2026,SELF TRANSFER/8415A53C1/ICICI,"2,000.00",,"1,62,023.50"
21/05/2026,UPI/4A5E8C198/D-MART/9876543210,862.00,,"1,61,161.50"
24/05/2026,UPI/02B76A718/RELIANCE FRESH/9876543210,"1,001.00",,"1,60,160.50"
26/05/2026,UPI/8916BAF87/RELIANCE FRESH/9876543210,"1,813.00",,"1,58,347.50"
26/05/2026,UPI/9D3520A91/PHARMEASY/9876543210,218.00,,"1,58,129.50"
28/05/2026,SELF TRANSFER/C614996D1/ICICI,"2,000.00",,"1,56,129.50"
29/05/2026,UPI/1A9CAA03D/UNKNOWN-MCH-6609,731.00,,"1,55,398.50"
30/05/2026,POS/3B176E71F/INDIAN OIL,"1,429.50",,"1,53,969.00"
