Date,Narration,Withdrawal,Deposit,Balance
01/03/2026,NEFT/CC241330B/ACME TECHNOLOGIES SALARY,,"95,000.00","2,62,646.00"
03/03/2026,NEFT/EB3AA7EFE/KUMAR REALTY RENT,"24,000.00",,"2,38,646.00"
04/03/2026,UPI/79F4325F4/CITY CARE CLINIC/9876543210,455.00,,"2,38,191.00"
05/03/2026,,799.00,,"2,37,392.00"
05/03/2026,UPI/C995D455B/LPG GAS CYLINDER/9876543210,899.00,,"2,36,493.00"
05/03/2026,AXIS CREDIT CARD BILL/B9A86A2F5,"41,908.00",,"1,94,585.00"
06/03/2026,UPI/AF067AD82/RELIANCE FRESH/9876543210,"2,234.00",,"1,92,351.00"
06/03/2026,POS/146273272/HP PETROL PUMP,"2,508.00",,"1,89,843.00"
08/03/2026,UPI/765787D0C/D-MART/9876543210,"1,851.00",,"1,87,992.00"
08/03/2026,UPI/E4D4C3B80/BARBEQUE NATION/9876543210,"2,157.00",,"1,85,835.00"
08/03/2026,SELF TRANSFER/FE61CF9A3/ICICI,"2,000.00",,"1,83,835.00"
10/03/2026,NEFT/EB92DA22B/HDFC ERGO INSURANCE,"1,850.00",,"1,81,985.00"
14/03/2026,UPI/9E0C53CB8/MSEDCL ELECTRICITY/9876543210,"1,545.00",,"1,80,440.00"
14/03/2026,SELF TRANSFER/0600777BE/ICICI,"2,000.00",,"1,78,440.00"
16/03/2026,POS/0CEC3A6F4/SHELL FUEL,"1,392.50",,"1,77,047.50"
16/03/2026,UPI/A2BB4A408/APOLLO PHARMACY/9876543210,"1,758.00",,"1,75,289.50"
18/03/2026,UPI/09549E631/PHARMEASY/9876543210,731.00,,"1,74,558.50"
22/03/2026,SELF TRANSFER/3BD6AEC56/ICICI,"2,000.00",,"1,72,558.50"
24/03/2026,POS/0CEDCF5BF/HP PETROL PUMP,"2,038.50",,"1,70,520.00"
29/03/2026,SELF TRANSFER/366308AF8/ICICI,"2,000.00",,"1,68,520.00"
31/03/2026,SAVINGS INTEREST/37CAEBDFE,,"2,072.00","1,70,592.00"
