Date,Narration,Withdrawal,Deposit,Balance
01/04/2026,NEFT/4571AA876/ACME TECHNOLOGIES SALARY,,"95,000.00","2,65,592.00"
01/04/2026,POS/9C6978476/INDIAN OIL,"1,600.00",,"2,63,992.00"
01/04/2026,SELF TRANSFER/EC35F4E12/ICICI,"9,432.00",,"2,54,560.00"
03/04/2026,NEFT/B88BD6407/KUMAR REALTY RENT,"24,000.00",,"2,30,560.00"
05/04/2026,ACH-D/ACT FIBERNET,799.00,,"2,29,761.00"
05/04/2026,AXIS CREDIT CARD BILL/123E8BB05,"29,250.00",,"2,00,511.00"
06/04/2026,POS/DE3DC8702/HP PETROL PUMP,"1,191.50",,"1,99,319.50"
06/04/2026,UPI/B7F1464B3/BARBEQUE NATION/9876543210,"2,439.00",,"1,96,880.50"
07/04/2026,UPI/E556FE90E/CITY CARE CLINIC/9876543210,732.00,,"1,96,148.50"
07/04/2026,SELF TRANSFER/1D08308B0/ICICI,"2,000.00",,"1,94,148.50"
08/04/2026,SELF TRANSFER/9E2F7E7EA/ICICI,"6,098.00",,"1,88,050.50"
09/04/2026,POS/6A04DAC84/SHELL FUEL,"2,304.50",,"1,85,746.00"
10/04/2026,NEFT/7C8DCD19F/HDFC ERGO INSURANCE,"1,850.00",,"1,83,896.00"
10/04/2026,POS/6D994F7BA/HP PETROL PUMP,"2,116.00",,"1,81,780.00"
12/04/2026,UPI/1D0E6E660/MSEDCL ELECTRICITY/9876543210,"1,291.00",,"1,80,489.00"
12/04/2026,UPI/A7F85C4E7/D-MART/9876543210,"1,997.00",,"1,78,492.00"
12/04/2026,UPI/3363D2FB5/CAFE COFFEE DAY/9876543210,910.00,,"1,77,582.00"
13/04/2026,UPI/42719BFDB/RELIANCE FRESH/9876543210,712.00,,"1,76,870.00"
15/04/2026,UPI/7CAF07226/RELIANCE FRESH/9876543210,476.00,,"1,76,394.00"
17/04/2026,SELF TRANSFER/B940BB34D/ICICI,"2,000.00",,"1,74,394.00"
21/04/2026,UPI/6F9299271/CITY CARE CLINIC/9876543210,"1,103.00",,"1,73,291.00"
23/04/2026,SELF TRANSFER/44D20D6CF/ICICI,"3,180.00",,"1,70,111.00"
24/04/2026,UPI/762359144/D-MART/9876543210,"1,290.00",,"1,68,821.00"
24/04/2026,POS/01A49DE98/INDIAN OIL,"1,876.00",,"1,66,945.00"
24/04/2026,SELF TRANSFER/135AAD597/ICICI,"2,000.00",,"1,64,945.00"
26/04/2026,POS/A204054FB/SHELL FUEL,"2,284.50",,"1,62,660.50"
28/04/2026,UPI/BE27BB6C4/RELIANCE FRESH/9876543210,"1,580.00",,"1,61,080.50"
