Date,Narration,Withdrawal,Deposit,Balance
01/12/2025,NEFT/317FC695A/ACME TECHNOLOGIES SALARY,,"95,000.00","2,62,051.00"
02/12/2025,POS/60766699F/HP PETROL PUMP,"1,797.00",,"2,60,254.00"
03/12/2025,NEFT/3DAF61A26/KUMAR REALTY RENT,"24,000.00",,"2,36,254.00"
04/12/2025,UPI/D68B666D6/CAFE COFFEE DAY/9876543210,"2,264.00",,"2,33,990.00"
04/12/2025,SELF TRANSFER/D9FAA2180/ICICI,"2,000.00",,"2,31,990.00"
05/12/2025,ACH-D/ACT FIBERNET,799.00,,"2,31,191.00"
05/12/2025,POS/C3F0E924B/INDIAN OIL,"1,931.00",,"2,29,260.00"
05/12/2025,AXIS CREDIT CARD BILL/7523E901F,"25,536.00",,"2,03,724.00"
06/12/2025,UPI/69AC88B74/LPG GAS CYLINDER/9876543210,899.00,,"2,02,825.00"
10/12/2025,NEFT/E114125C6/HDFC ERGO INSURANCE,"1,850.00",,"2,00,975.00"
10/12/2025,UPI/CD5DB677F/UNKNOWN-MCH-4896,"2,054.50",,"1,98,920.50"
13/12/2025,UPI/53EC72CCA/CAFE COFFEE DAY/9876543210,"1,557.00",,"1,97,363.50"
13/12/2025,SELF TRANSFER/65287C72E/ICICI,"2,000.00",,"1,95,363.50"
14/12/2025,UPI/C8BED0104/HOTEL KRISHNA BHOJ/9876543210,"1,557.00",,"1,93,806.50"
16/12/2025,UPI/C5FB8D16C/MSEDCL ELECTRICITY/9876543210,"2,155.00",,"1,91,651.50"
16/12/2025,UPI/CBDB4F711/BARBEQUE NATION/9876543210,"2,546.00",,"1,89,105.50"
17/12/2025,POS/FA72EDD5F/HP PETROL PUMP,"1,797.00",,"1,87,308.50"
18/12/2025,SELF TRANSFER/AD674998A/ICICI,"7,316.00",,"1,79,992.50"
19/12/2025,POS/AD6E8AAD3/HP PETROL PUMP,"2,483.50",,"1,77,509.00"
19/12/2025,UPI/26035D9AF/CAFE COFFEE DAY/9876543210,"2,250.00",,"1,75,259.00"
24/12/2025,SELF TRANSFER/A9599B267/ICICI,"2,000.00",,"1,73,259.00"
25/12/2025,POS/616F791AC/HP PETROL PUMP,"2,209.00",,"1,71,050.00"
26/12/2025,UPI/D23966B83/RELIANCE FRESH/9876543210,"1,101.00",,"1,69,949.00"
29/12/2025,SELF TRANSFER/AA753297E/ICICI,"2,000.00",,"1,67,949.00"
30/12/2025,UPI/7301B5B4E/PHARMEASY/9876543210,507.00,,"1,67,442.00"
31/12/2025,UPI/BBBC0E8ED/UNKNOWN-MCH-6798,,"1,723.00","1,69,165.00"
