Date,Narration,Withdrawal,Deposit,Balance
01/10/2025,UPI/629714F1F/UNKNOWN-MCH-6284,,"95,000.00","2,68,030.50"
01/10/2025,UPI/6F56FEBB1/CAFE COFFEE DAY/9876543210,"1,069.00",,"2,66,961.50"
03/10/2025,NEFT/393CD59BF/KUMAR REALTY RENT,"24,000.00",,"2,42,961.50"
03/10/2025,SELF TRANSFER/C28815CD9/ICICI,"2,000.00",,"2,40,961.50"
05/10/2025,ACH-D/ACT FIBERNET,799.00,,"2,40,162.50"
05/10/2025,AXIS CREDIT CARD BILL/E5C798B20,"35,943.00",,"2,04,219.50"
10/10/2025,NEFT/905628059/HDFC ERGO INSURANCE,"1,850.00",,"2,02,369.50"
12/10/2025,SELF TRANSFER/E92ECC3BD/ICICI,"2,000.00",,"2,00,369.50"
13/10/2025,UPI/D961B9221/CAFE COFFEE DAY/9876543210,"2,115.00",,"1,98,254.50"
14/10/2025,UPI/E81F76D1C/MSEDCL ELECTRICITY/9876543210,"2,754.00",,"1,95,500.50"
16/10/2025,UPI/26A1D9731/RELIANCE FRESH/9876543210,"1,769.00",,"1,93,731.50"
18/10/2025,UPI/CB1BAD5EB/LPG GAS CYLINDER/9876543210,940.00,,"1,92,791.50"
20/10/2025,SELF TRANSFER/C30DE0010/ICICI,"2,000.00",,"1,90,791.50"
24/10/2025,UPI/87E7D5E88/RELIANCE FRESH/9876543210,"2,200.00",,"1,88,591.50"
25/10/2025,SELF TRANSFER/AC54F87AD/ICICI,"4,925.00",,"1,83,666.50"
26/10/2025,UPI/1784AEE43/APOLLO PHARMACY/9876543210,"1,214.00",,"1,82,452.50"
27/10/2025,SELF TRANSFER/4D1587136/ICICI,"2,000.00",,"1,80,452.50"
