Date,Narration,Withdrawal,Deposit,Balance
01/11/2025,NEFT/6972A8469/ACME TECHNOLOGIES SALARY,,"95,000.00","2,75,452.50"
02/11/2025,POS/E80ACEFB5/HP PETROL PUMP,"1,955.50",,"2,73,497.00"
03/11/2025,NEFT/3A9488D99/KUMAR REALTY RENT,"24,000.00",,"2,49,497.00"
03/11/2025,POS/C4663F1A1/INDIAN OIL,"2,087.00",,"2,47,410.00"
03/11/2025,SELF TRANSFER/BFE8DB353/ICICI,"2,000.00",,"2,45,410.00"
04/11/2025,UPI/D7E4B4F10/PHARMEASY/9876543210,642.00,,"2,44,768.00"
05/11/2025,ACH-D/ACT FIBERNET,799.00,,"2,43,969.00"
05/11/2025,AXIS CREDIT CARD BILL/EBF4D4BD8,"33,836.00",,"2,10,133.00"
07/11/2025,UPI/FFE8C9AAB/RELIANCE FRESH/9876543210,"2,059.00",,"2,08,074.00"
08/11/2025,UPI/690C97F00/RELIANCE FRESH/9876543210,"2,015.00",,"2,06,059.00"
08/11/2025,POS/70B840C50/SHELL FUEL,"1,900.00",,"2,04,159.00"
10/11/2025,NEFT/101D74256/HDFC ERGO INSURANCE,"1,850.00",,"2,02,309.00"
10/11/2025,POS/6513FF9A9/SHELL FUEL,"1,756.00",,"2,00,553.00"
11/11/2025,UPI/7FE914B95/HOTEL KRISHNA BHOJ/9876543210,583.00,,"1,99,970.00"
11/11/2025,SELF TRANSFER/A2E822CE6/ICICI,"2,000.00",,"1,97,970.00"
12/11/2025,UPI/AD777A477/MSEDCL ELECTRICITY/9876543210,"2,586.00",,"1,95,384.00"
12/11/2025,SELF TRANSFER/7A444C040/ICICI,"4,184.00",,"1,91,200.00"
13/11/2025,UPI/D8C111BA4/CAFE COFFEE DAY/9876543210,"2,044.00",,"1,89,156.00"
17/11/2025,POS/90F14F86C/INDIAN OIL,"1,560.00",,"1,87,596.00"
18/11/2025,UPI/25B7D9D2D/D-MART/9876543210,"1,035.00",,"1,86,561.00"
19/11/2025,UPI/40C78947B/RELIANCE FRESH/9876543210,"1,131.00",,"1,85,430.00"
19/11/2025,SELF TRANSFER/9FF4A9185/ICICI,"7,744.00",,"1,77,686.00"
19/11/2025,UPI/B46586CB2/LPG GAS CYLINDER/9876543210,913.00,,"1,76,773.00"
20/11/2025,SELF TRANSFER/BC7F7040B/ICICI,"2,000.00",,"1,74,773.00"
22/11/2025,UPI/1C3C2AEE6/D-MART/9876543210,746.00,,"1,74,027.00"
22/11/2025,UPI/E427AE472/APOLLO PHARMACY/9876543210,"1,286.00",,"1,72,741.00"
26/11/2025,SELF TRANSFER/BB4A4CB80/ICICI,"2,231.00",,"1,70,510.00"
27/11/2025,SELF TRANSFER/0E3AF8541/ICICI,"2,000.00",,"1,68,510.00"
28/11/2025,POS/87E33E68F/INDIAN OIL,"1,459.00",,"1,67,051.00"
