Date,Narration,Withdrawal,Deposit,Balance
01/01/2026,NEFT/38FADC1A6/ACME TECHNOLOGIES SALARY,,"95,000.00","2,64,165.00"
01/01/2026,SELF TRANSFER/51E228ADE/ICICI,"4,190.00",,"2,59,975.00"
03/01/2026,NEFT/747294739/KUMAR REALTY RENT,"24,000.00",,"2,35,975.00"
05/01/2026,ACH-D/ACT FIBERNET,799.00,,"2,35,176.00"
05/01/2026,UPI/37C7DD490/HOTEL KRISHNA BHOJ/9876543210,"1,035.00",,"2,34,141.00"
05/01/2026,AXIS CREDIT CARD BILL/55CB9635C,"26,732.00",,"2,07,409.00"
07/01/2026,SELF TRANSFER/5ECE42AA5/ICICI,"2,000.00",,"2,05,409.00"
09/01/2026,UPI/A2540647B/CAFE COFFEE DAY/9876543210,591.00,,"2,04,818.00"
10/01/2026,NEFT/81223B513/HDFC ERGO INSURANCE,"1,850.00",,"2,02,968.00"
10/01/2026,NEFT/81223B513/HDFC ERGO INSURANCE,"1,850.00",,"2,02,968.00"
12/01/2026,SELF TRANSFER/A37AFC63B/ICICI,"3,355.00",,"1,99,613.00"
12/01/2026,SELF TRANSFER/293ACD71B/ICICI,"2,000.00",,"1,97,613.00"
13/01/2026,UPI/599546EB4/MSEDCL ELECTRICITY/9876543210,"2,040.00",,"1,95,573.00"
13/01/2026,UPI/30AE263E0/RELIANCE FRESH/9876543210,"1,414.00",,"1,94,159.00"
14/01/2026,UPI/7FA82F65D/CAFE COFFEE DAY/9876543210,"2,144.00",,"1,92,015.00"
17/01/2026,UPI/10B147F1F/RELIANCE FRESH/9876543210,574.00,,"1,91,441.00"
17/01/2026,UPI/44514C416/CAFE COFFEE DAY/9876543210,"2,026.00",,"1,89,415.00"
18/01/2026,POS/BE5304B87/SHELL FUEL,"1,114.50",,"1,88,300.50"
19/01/2026,UPI/9EB8B8C11/D-MART/9876543210,522.00,,"1,87,778.50"
20/01/2026,UPI/BDFAFC6CF/CAFE COFFEE DAY/9876543210,"1,184.00",,"1,86,594.50"
23/01/2026,SELF TRANSFER/24EF8A787/ICICI,"2,000.00",,"1,84,594.50"
24/01/2026,UPI/9F2E401AF/RELIANCE FRESH/9876543210,"2,245.00",,"1,82,349.50"
24/01/2026,POS/A71F71ADD/SHELL FUEL,"1,146.00",,"1,81,203.50"
26/01/2026,UPI/F578E911F/CAFE COFFEE DAY/9876543210,"2,350.00",,"1,78,853.50"
29/01/2026,UPI/45A19D7AB/PHARMEASY/9876543210,"1,242.00",,"1,77,611.50"
29/01/2026,SELF TRANSFER/DF1CA680C/ICICI,"2,000.00",,"1,75,611.50"
31/01/2026,UPI/38761F9DA/D-MART/9876543210,"1,630.00",,"1,73,981.50"
