Date,Narration,Withdrawal,Deposit,Balance
01/06/2026,NEFT/617BE3111/ACME TECHNOLOGIES SALARY,,"95,000.00","2,48,969.00"
03/06/2026,NEFT/5AF42E12F/KUMAR REALTY RENT,"24,000.00",,"2,24,969.00"
05/06/2026,ACH-D/ACT FIBERNET,799.00,,"2,24,170.00"
05/06/2026,AXIS CREDIT CARD BILL/0CC5015CF,"40,490.00",,"1,83,680.00"
07/06/2026,SELF TRANSFER/5199DED5E/ICICI,"2,000.00",,"1,81,680.00"
09/06/2026,POS/21D7D0BB3/SHELL FUEL,"1,115.00",,"1,80,565.00"
10/06/2026,NEFT/66C6FA611/HDFC ERGO INSURANCE,"1,850.00",,"1,78,715.00"
11/06/2026,UPI/6926114B7/BARBEQUE NATION/9876543210,"1,904.00",,"1,76,811.00"
12/06/2026,UPI/AA26C2D5A/CAFE COFFEE DAY/9876543210,"1,967.00",,"1,74,844.00"
12/06/2026,UPI/D901919B7/UNKNOWN-MCH-9692,"1,689.00",,"1,73,155.00"
13/06/2026,SELF TRANSFER/F6F246189/ICICI,"2,000.00",,"1,71,155.00"
14/06/2026,POS/E380CC838/INDIAN OIL,"1,145.50",,"1,70,009.50"
15/06/2026,SELF TRANSFER/22DF4E387/ICICI,"9,668.00",,"1,60,341.50"
16/06/2026,UPI/3F6E07CC0/MSEDCL ELECTRICITY/9876543210,"1,422.00",,"1,58,919.50"
20/06/2026,UPI/3CDFA76AF/RELIANCE FRESH/9876543210,"2,591.00",,"1,56,328.50"
22/06/2026,SELF TRANSFER/BFFECC4EB/ICICI,"2,000.00",,"1,54,328.50"
23/06/2026,UPI/0A09FC700/BARBEQUE NATION/9876543210,417.00,,"1,53,911.50"
24/06/2026,UPI/696818AED/LPG GAS CYLINDER/9876543210,930.00,,"1,52,981.50"
29/06/2026,SELF TRANSFER/C6C262577/ICICI,"7,231.00",,"1,45,750.50"
30/06/2026,SAVINGS INTEREST/99B510232,,"1,192.00","1,46,942.50"
