Date,Narration,Withdrawal,Deposit,Balance
01/07/2026,NEFT/5D8F56413/ACME TECHNOLOGIES SALARY,,"95,000.00","2,41,942.50"
01/07/2026,UPI/A6ED338BE/RELIANCE FRESH/9876543210,"2,195.00",,"2,39,747.50"
02/07/2026,SELF TRANSFER/E63C279AA/ICICI,"2,000.00",,"2,37,747.50"
03/07/2026,NEFT/0D261A7AB/KUMAR REALTY RENT,"24,000.00",,"2,13,747.50"
05/07/2026,ACH-D/ACT FIBERNET,799.00,,"2,12,948.50"
05/07/2026,AXIS CREDIT CARD BILL/E0F6EED31,"30,604.00",,"1,82,344.50"
08/07/2026,UPI/313893A70/HOTEL KRISHNA BHOJ/9876543210,395.00,,"1,81,949.50"
09/07/2026,UPI/793AC009A/D-MART/9876543210,"1,918.00",,"1,80,031.50"
10/07/2026,NEFT/AAC619E63/HDFC ERGO INSURANCE,"1,850.00",,"1,78,181.50"
10/07/2026,NEFT/AAC619E63/HDFC ERGO INSURANCE,"1,850.00",,"1,78,181.50"
11/07/2026,UPI/8EE0C2303/LPG GAS CYLINDER/9876543210,918.00,,"1,77,263.50"
11/07/2026,SELF TRANSFER/B4653CBD3/ICICI,"2,000.00",,"1,75,263.50"
15/07/2026,UPI/9A197339C/HOTEL KRISHNA BHOJ/9876543210,645.00,,"1,74,618.50"
15/07/2026,UPI/C16A34833/PHARMEASY/9876543210,"1,072.00",,"1,73,546.50"
16/07/2026,UPI/4B683D2E6/MSEDCL ELECTRICITY/9876543210,"2,396.00",,"1,71,150.50"
17/07/2026,SELF TRANSFER/83296C4C0/ICICI,"9,586.00",,"1,61,564.50"
20/07/2026,SELF TRANSFER/D24074330/ICICI,"2,000.00",,"1,59,564.50"
21/07/2026,SELF TRANSFER/7DE2E7ABC/ICICI,"4,254.00",,"1,55,310.50"
22/07/2026,UPI/1ED348E32/CAFE COFFEE DAY/9876543210,"1,462.00",,"1,53,848.50"
24/07/2026,UPI/2C2CE56BD/HOTEL KRISHNA BHOJ/9876543210,275.00,,"1,53,573.50"
25/07/2026,SELF TRANSFER/820C13845/ICICI,"2,000.00",,"1,51,573.50"
28/07/2026,UPI/BBA4D6C8E/BARBEQUE NATION/9876543210,550.00,,"1,51,023.50"
29/07/2026,SELF TRANSFER/65B5CD6C5/ICICI,"4,138.00",,"1,46,885.50"
30/07/2026,UPI/D4455D60E/RELIANCE FRESH/9876543210,768.00,,"1,46,117.50"
30/07/2026,SELF TRANSFER/19884F76D/ICICI,"4,597.00",,"1,41,520.50"
